"Milan;20"
"Napoli;19"
"Inter;18"
"Roma;17"
"Juventus;16"
"Atalanta;15"
"Bologna;14"
"Lazio;13"
"Como;12"
"Fiorentina;11"
"Torino;10"
"Udinese;9"
"Genoa;8"
"Cagliari;7"
"Parma;6"
"Sassuolo;5"
"Lecce;4"
"Cremonese;3"
"Verona;2"
"Pisa;1"
